onset	duration	brlr
45.24	0.04	23
45.28	0.04	23
45.32	0.04	21
45.36	0.04	21
45.40	0.04	20
45.44	0.04	21
45.48	0.04	20
45.52	0.04	20
45.56	0.04	20
45.60	0.04	20
45.64	0.04	18
45.68	0.04	19
45.72	0.04	17
45.76	0.04	18
45.80	0.04	16
45.84	0.04	16
45.88	0.04	15
45.92	0.04	15
45.96	0.04	14
46.00	0.04	14
46.04	0.04	14
46.08	0.04	14
46.12	0.04	13
46.16	0.04	12
46.20	0.04	13
46.24	0.04	13
46.28	0.04	13
46.32	0.04	13
46.36	0.04	15
46.40	0.04	15
46.44	0.04	16
46.48	0.04	16
46.52	0.04	16
46.56	0.04	17
46.60	0.04	16
46.64	0.04	16
46.68	0.04	16
46.72	0.04	17
46.76	0.04	16
46.80	0.04	15
46.84	0.04	16
46.88	0.04	17
46.92	0.04	17
46.96	0.04	18
47.00	0.04	18
47.04	0.04	19
47.08	0.04	19
47.12	0.04	19
47.16	0.04	20
47.20	0.04	18
47.24	0.04	19
47.28	0.04	18
47.32	0.04	17
47.36	0.04	17
47.40	0.04	17
47.44	0.04	16
47.48	0.04	17
47.52	0.04	17
47.56	0.04	17
47.60	0.04	17
47.64	0.04	18
47.68	0.04	17
47.72	0.04	17
47.76	0.04	17
47.80	0.04	18
47.84	0.04	18
47.88	0.04	18
47.92	0.04	18
47.96	0.04	18
48.00	0.04	17
48.04	0.04	17
48.08	0.04	17
48.12	0.04	18
48.16	0.04	18
48.20	0.04	18
48.24	0.04	16
48.28	0.04	17
48.32	0.04	16
48.36	0.04	16
48.40	0.04	15
48.44	0.04	16
48.48	0.04	16
48.52	0.04	16
48.56	0.04	16
48.60	0.04	17
48.64	0.04	17
48.68	0.04	17
48.72	0.04	17
48.76	0.04	19
48.80	0.04	18
48.84	0.04	19
48.88	0.04	19
48.92	0.04	19
48.96	0.04	18
49.00	0.04	19
49.04	0.04	18
49.08	0.04	18
49.12	0.04	18
49.16	0.04	19
49.20	0.04	18
49.24	0.04	18
49.28	0.04	17
49.32	0.04	16
49.36	0.04	15
49.40	0.04	14
49.44	0.04	15
49.48	0.04	15
49.52	0.04	15
49.56	0.04	16
49.60	0.04	16
49.64	0.04	15
49.68	0.04	15
49.72	0.04	16
49.76	0.04	16
49.80	0.04	16
49.84	0.04	17
49.88	0.04	15
49.92	0.04	15
49.96	0.04	16
50.00	0.04	18
50.04	0.04	19
50.08	0.04	20
50.12	0.04	22
50.16	0.04	23
50.20	0.04	23
50.24	0.04	24
50.28	0.04	25
50.32	0.04	25
50.36	0.04	24
50.40	0.04	27
50.44	0.04	25
50.48	0.04	27
50.52	0.04	28
50.56	0.04	27
50.60	0.04	26
50.64	0.04	26
50.68	0.04	27
50.72	0.04	25
50.76	0.04	25
50.80	0.04	25
50.84	0.04	24
50.88	0.04	24
50.92	0.04	24
50.96	0.04	23
51.00	0.04	20
51.04	0.04	18
51.08	0.04	16
51.12	0.04	16
51.16	0.04	17
51.20	0.04	16
51.24	0.04	15
51.28	0.04	15
51.32	0.04	13
51.36	0.04	12
51.40	0.04	10
51.44	0.04	12
51.48	0.04	11
51.52	0.04	12
51.56	0.04	12
51.60	0.04	12
51.64	0.04	12
51.68	0.04	13
51.72	0.04	13
51.76	0.04	15
51.80	0.04	16
51.84	0.04	16
51.88	0.04	16
51.92	0.04	14
51.96	0.04	14
52.00	0.04	14
52.04	0.04	14
52.08	0.04	15
52.12	0.04	14
52.16	0.04	15
52.20	0.04	15
52.24	0.04	16
52.28	0.04	18
52.32	0.04	19
52.36	0.04	19
52.40	0.04	20
52.44	0.04	21
52.48	0.04	20
52.52	0.04	20
52.56	0.04	18
52.60	0.04	18
52.64	0.04	17
52.68	0.04	17
52.72	0.04	16
52.76	0.04	15
52.80	0.04	15
52.84	0.04	16
52.88	0.04	17
52.92	0.04	18
52.96	0.04	19
53.00	0.04	16
53.04	0.04	17
53.08	0.04	16
53.12	0.04	16
53.16	0.04	15
53.20	0.04	15
53.24	0.04	15
53.28	0.04	14
53.32	0.04	14
53.36	0.04	11
53.40	0.04	11
53.44	0.04	11
53.48	0.04	11
53.52	0.04	11
53.56	0.04	11
53.60	0.04	10
53.64	0.04	7
53.68	0.04	6
53.72	0.04	7
53.76	0.04	11
53.80	0.04	15
53.84	0.04	18
53.88	0.04	19
53.92	0.04	20
53.96	0.04	20
54.00	0.04	19
54.04	0.04	15
54.08	0.04	13
54.12	0.04	6
54.16	0.04	0
54.20	0.04	-6
54.24	0.04	-7
54.28	0.04	-12
54.32	0.04	-16
54.36	0.04	-18
54.40	0.04	-21
54.44	0.04	-24
